基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立时间,自定义,手续费
005794,银华心怡灵活配置混合,2021-09-07,3.3450,3.5180,1.39,2.50,1.01,27.90,36.95,53.55,147.74,290.42,35.69,265.94,2018-07-05,48.3337,1.50%
003145,中融竞争优势,2021-09-07,2.2683,2.2683,1.32,-0.88,6.35,20.05,36.94,52.01,171.26,202.36,36.79,126.83,2016-09-07,47.9091,1.50%
002106,德邦福鑫灵活配置混合C,2021-09-07,2.1499,2.1499,2.50,-2.99,1.71,22.30,36.88,67.33,125.52,112.34,37.16,111.21,2015-11-16,61.3402,
005211,银河智慧混合,2021-09-07,3.1851,3.1851,2.86,-1.52,-0.52,29.37,36.84,57.59,179.57,271.66,36.91,218.48,2017-12-01,50.6308,1.50%
004855,广发中证全指汽车指数C,2021-09-07,1.7132,1.7132,2.17,2.47,4.99,24.95,36.83,76.98,117.52,138.74,26.17,71.32,2017-07-31,69.3388,
002256,金信行业优选混合发起式,2021-09-07,2.3680,2.3680,0.47,0.68,-4.75,15.96,36.72,53.57,148.74,221.74,29.90,136.80,2016-04-01,47.8599,1.50%
010779,西部利得量化优选一年持有A,2021-09-07,1.2305,1.2905,2.21,0.24,1.05,19.92,36.71,,,,,29.14,2021-01-19,24.533288,1.50%
003625,创金合信资源股票发起式C,2021-09-07,2.9541,2.9541,2.90,-4.37,11.44,33.71,36.70,104.18,211.78,231.40,48.87,195.41,2016-11-02,95.8529,
002168,嘉实智能汽车股票,2021-09-07,4.5060,4.5060,2.99,1.99,-1.64,21.95,36.50,74.79,170.47,310.01,25.27,350.60,2016-02-04,64.9728,1.50%
690011,民生加银积极成长混合发起式,2021-09-07,3.7480,3.7480,2.13,-3.05,0.94,27.92,36.49,64.24,142.43,203.97,27.61,274.80,2013-01-31,56.9238,1.50%
002064,华富产业升级灵活配置混合,2021-09-07,2.1480,2.4480,0.99,-1.96,-4.41,27.10,36.47,48.24,113.55,170.24,33.75,166.72,2017-05-08,43.6853,1.50%
210004,金鹰稳健成长混合,2021-09-07,2.7110,3.4410,2.11,-1.06,-1.45,20.70,36.44,48.30,117.75,157.94,26.03,355.11,2010-04-14,42.0678,1.50%
009885,新华景气行业混合A,2021-09-07,1.3083,1.3083,0.82,0.29,2.27,30.93,36.41,,,,26.38,30.83,2020-09-27,27.28,1.50%
004496,前海开源多元策略混合A,2021-09-07,2.5523,2.5523,2.54,10.70,17.97,29.93,36.28,27.35,79.93,193.71,37.81,155.20,2017-07-03,21.0109,1.50%
163803,中银持续增长混合A,2021-09-07,0.6695,4.7120,2.59,-4.86,4.61,22.64,36.27,66.38,141.08,160.48,35.22,938.13,2006-03-17,62.2587,1.50%
001701,中融产业升级混合,2021-09-07,3.1220,3.1220,2.16,-0.76,4.17,27.53,36.27,42.17,175.55,233.19,33.93,212.20,2016-03-18,35.7468,1.50%
000924,宝盈先进制造混合A,2021-09-07,3.4050,3.7170,1.13,0.47,3.37,17.45,36.20,58.30,185.12,290.33,32.23,331.55,2014-12-17,52.9521,1.50%
004497,前海开源多元策略混合C,2021-09-07,2.5117,2.5117,2.54,10.70,17.96,29.90,36.20,27.23,79.57,193.22,37.73,151.14,2017-07-03,20.8945,1.50%
003956,南方教育股票,2021-09-07,2.5651,2.5651,1.97,-3.04,-2.56,22.78,36.19,39.39,123.07,216.84,19.36,156.51,2017-01-25,35.6483,1.50%
005802,汇添富智能制造股票,2021-09-07,2.1597,2.1597,0.55,-0.69,-4.98,26.28,36.16,36.09,101.41,128.01,27.10,115.97,2018-04-23,31.6509,1.50%
001261,中融新机遇混合,2021-09-07,1.5670,1.5670,0.06,-3.69,-3.81,20.63,36.14,28.44,61.21,71.07,19.80,56.70,2015-05-04,25.9836,1.50%
000698,宝盈科技30混合,2021-09-07,3.9220,3.9220,1.37,0.80,-2.70,18.63,36.09,39.77,120.09,179.94,24.35,292.20,2014-08-13,34.6757,1.50%
009886,新华景气行业混合C,2021-09-07,1.3021,1.3021,0.82,0.28,2.23,30.77,36.06,,,,25.94,30.21,2020-09-27,26.69,
001070,建信信息产业股票,2021-09-07,3.5170,3.5170,1.03,0.49,4.58,29.25,36.05,73.51,144.41,253.11,37.12,251.70,2015-03-24,69.1169,1.50%
001719,工银国家战略股票,2021-09-07,2.5720,2.5720,2.47,2.88,17.28,31.22,36.01,55.50,107.75,211.38,36.81,157.20,2016-01-29,49.3349,1.50%
006270,汇安核心成长混合A,2021-09-07,1.8345,1.8345,2.27,-2.98,0.41,24.67,35.90,47.57,85.40,,26.88,83.45,2019-01-25,41.2598,1.50%
008919,永赢科技驱动A,2021-09-07,1.7023,1.7023,0.88,-2.26,-5.10,18.23,35.88,51.50,,,34.87,70.23,2020-02-18,46.0217,1.50%
007203,银河新动能混合,2021-09-07,2.5423,2.5423,1.85,-1.56,-5.51,28.06,35.88,52.11,,,26.43,154.23,2019-11-18,46.9307,1.50%
000547,建信健康民生混合,2021-09-07,6.9310,6.9310,1.54,1.03,9.22,26.39,35.82,73.10,162.44,263.83,42.53,593.10,2014-03-21,68.3317,1.50%
003175,华泰柏瑞多策略混合,2021-09-07,1.8371,1.8371,1.05,5.11,17.24,27.25,35.76,39.49,52.63,73.21,42.99,83.71,2016-09-29,36.0364,1.50%
008920,永赢科技驱动C,2021-09-07,1.6970,1.6970,0.87,-2.27,-5.12,18.18,35.74,51.19,,,34.68,69.70,2020-02-18,45.7324,
007579,宝盈先进制造混合C,2021-09-07,3.3510,3.5560,1.15,0.45,3.30,17.25,35.67,57.10,180.70,,31.57,228.58,2019-07-01,51.8050,
001387,中融新经济混合A,2021-09-07,4.8520,5.43,2.26,-0.72,4.86,28.63,35.64,41.75,166.20,222.27,32.14,536.14,2015-11-17,35.2907,1.50%
004666,长城久嘉创新成长混合A,2021-09-07,1.9035,1.9035,-0.15,-4.26,-5.12,26.80,35.62,38.70,96.30,108.56,33.15,90.35,2017-07-05,36.2722,1.50%
001404,招商移动互联网产业股票基金,2021-09-07,1.5960,1.5960,0.25,-2.68,-10.29,23.15,35.60,29.97,93.69,137.50,30.18,59.60,2015-06-19,26.9544,1.50%
519975,长信量化中小盘股票,2021-09-07,1.7870,2.1870,2.94,1.77,13.17,29.12,35.58,36.31,125.06,146.48,42.96,145.32,2015-02-04,31.8841,1.50%
010611,万家战略发展产业混合A,2021-09-07,1.3182,1.3182,1.23,-1.16,2.83,20.76,35.56,,,,,31.82,2021-01-13,29.76,1.50%
540003,汇丰晋信动态策略混合A,2021-09-07,5.2010,5.8410,1.92,4.05,11.31,19.39,35.53,79.13,158.37,230.89,42.63,675.92,2007-04-09,73.7868,1.50%
001388,中融新经济混合C,2021-09-07,2.9320,3.0780,2.23,-0.71,4.83,28.54,35.49,41.37,164.96,219.99,31.89,217.43,2015-11-17,34.9084,
001097,华泰柏瑞积极优选股票,2021-09-07,1.1460,1.1460,1.42,-5.21,-0.61,23.49,35.46,40.96,81.04,97.93,24.03,14.60,2015-03-26,37.8844,1.50%
005793,华富可转债债券,2021-09-07,1.5467,1.5467,2.42,2.96,11.88,26.06,35.46,25.18,38.02,57.99,18.57,54.67,2018-05-21,20.7996,0.80%
001468,广发改革混合,2021-09-07,1.7690,1.7690,3.21,4.12,16.08,34.22,35.45,45.60,150.21,221.64,40.62,76.90,2015-07-27,40.9877,1.50%
002604,华夏新起点混合A,2021-09-07,2.3170,2.3170,0.78,-5.12,-0.22,24.44,35.42,37.67,97.70,139.11,22.92,131.70,2016-06-30,35.2941,1.50%
003516,国泰融安多策略灵活配置混合,2021-09-07,3.9681,3.9681,2.04,-1.29,-0.43,20.48,35.41,46.75,158,293.74,23.12,296.81,2017-07-03,43.1229,1.50%
008962,建信科技创新混合A,2021-09-07,1.7677,1.7677,1.26,0.26,5.86,29.95,35.39,71.02,,,34.34,76.77,2020-02-17,67.1053,1.50%
006271,汇安核心成长混合C,2021-09-07,1.7891,1.7891,2.26,-3,0.33,24.41,35.34,46.38,82.41,,26.17,78.91,2019-01-25,40.1407,
007770,同泰开泰混合A,2021-09-07,1.8914,1.8914,3.05,-0.44,4.60,29.55,35.30,53.21,87.75,,41.83,89.14,2019-08-28,47.6711,1.50%
